country,document_title,year,institution,document_type,language,file_name,arctic_relevance,nato_relevance,use_in_main_analysis,war_period,nato_period,breakpoint_role,coding_decision,notes,expected_path,file_status,source_url
USA,National Strategy for the Arctic Region,2022,White House,National Arctic Strategy,English,USA_2022_National_Arctic_Strategy.pdf,3,3,Yes,Pre-war,Long-standing NATO member,Pre-2022 Arctic strategy baseline,"Use for Arctic, climate, security, cooperation, sovereignty and alliance framing",Main U.S. Arctic strategy; now present and matched.,USA/USA_2022_National_Arctic_Strategy.pdf,MATCH,https://bidenwhitehouse.archives.gov/wp-content/uploads/2022/10/National-Strategy-for-the-Arctic-Region.pdf
USA,Department of Defense Arctic Strategy,2024,U.S. Department of Defense,Defence Arctic Strategy,English,USA_2024_DoD_Arctic_Strategy.pdf,3,3,Yes,Post-war,Long-standing NATO member,Post-2022 defence and Arctic security framing,"Use for NATO, defence, deterrence, Russia-threat, resilience and military-access framing",Main post-war U.S. defence strategy for the Arctic.,USA/USA_2024_DoD_Arctic_Strategy.pdf,MATCH,https://media.defense.gov/2024/Jul/22/2003507411/-1/-1/0/DOD-ARCTIC-STRATEGY-2024.PDF
Canada,Arctic and Northern Policy Framework,2019,Government of Canada,Arctic and Northern Policy Framework,English,Canada_2019_Arctic_Northern_Policy_Framework.pdf,3,1,Yes,Pre-war,Long-standing NATO member,Pre-2022 Arctic/northern policy baseline,"Use for Arctic governance, indigenous/human security, climate and cooperation framing",Main Canadian Arctic/northern policy baseline.,Canada/Canada_2019_Arctic_Northern_Policy_Framework.pdf,MATCH,https://www.rcaanc-cirnac.gc.ca/eng/1560523306861/1560523330587
Canada,"Our North, Strong and Free",2024,Government of Canada / Department of National Defence,Defence Policy Update,English,Canada_2024_Our_North_Strong_Free.pdf,2,3,Yes,Post-war,Long-standing NATO member,Post-2022 defence/security framing,"Use for defence, NATO, deterrence, resilience and Arctic security framing","Not purely Arctic-specific, but essential post-war defence/security document.",Canada/Canada_2024_Our_North_Strong_Free.pdf,MATCH,https://www.canada.ca/en/department-national-defence/corporate/reports-publications/north-strong-free-2024.html
Russia,Foundations of the Russian Federation State Policy in the Arctic for the Period up to 2035,2020 / amended 2023,President of the Russian Federation,Arctic State Policy / Strategic Planning Document,English translation,Russia_2020_Arctic_State_Policy_2035.pdf,3,1,Yes,Pre-war document / amended post-war,Non-NATO / Russia,Russian Arctic state policy baseline; amended after 2022 war,"Use for sovereignty, national security, resource access, Northern Sea Route, military security and Russia strategic framing","English translation by Russia Maritime Studies Institute / U.S. Naval War College; original Russian presidential decree, amended in 2023.",Russia/Russia_2020_Arctic_State_Policy_2035.pdf,MATCH,https://usnwc.edu/_images/portals/0/NWCDepartments/Russia-Maritime-Studies-Institute/ArcticPolicyFoundations2035_English_FINAL_14MAR23977a.pdf
Russia,Strategy for Development of the Arctic Zone of the Russian Federation and Provision of National Security for the Period up to 2035,2020 / amended 2023,President of the Russian Federation,Arctic Zone Development and National Security Strategy,English translation,Russia_2020_Arctic_Zone_National_Security_2035.pdf,3,1,Yes,Pre-war document / amended post-war,Non-NATO / Russia,Russian Arctic development and national security strategy; amended after 2022 war,"Use for Arctic development, national security, military security, resource access, Northern Sea Route and Russia strategic framing",Unofficial English translation by RMSI / U.S. Naval War College; original legal act amended in 2023.,Russia/Russia_2020_Arctic_Zone_National_Security_2035.pdf,MATCH,https://usnwc.edu/_images/portals/0/NWCDepartments/Russia-Maritime-Studies-Institute/16MAR23_20201026_ENG_RUS_Arctic-Strategy2035_FINAL_16MAR238f95.pdf
Norway,Norway in the North: A High North Policy for a New Era,2025,The Norwegian Ministries,High North Strategy,English,Norway_2025_Norway_in_the_North.pdf,3,3,Yes,Post-war,Long-standing NATO member,Post-2022 High North security/NATO framing,"Use for NATO, Russia-threat, sovereignty, defence, resilience, climate and resource framing",Main updated Norwegian High North strategy.,Norway/Norway_2025_Norway_in_the_North.pdf,MATCH,https://www.regjeringen.no/contentassets/ce4ca6a943494c1da569f45ae2d8dfb9/en-gb/pdfs/h-2569-e-norway-in-the-north.pdf
Norway,"The Norwegian Government’s Arctic Policy: People, Opportunities and Norwegian Interests in the Arctic",2020,Norwegian Ministries,Arctic Policy Abstract,English,Norway_2020_Arctic_Policy_Abstract.pdf,2,2,No,Pre-war,Long-standing NATO member,Pre-2022 supplementary Arctic policy context,Supplementary only; not preferred for main content analysis because it is an abstract version,Keep as supplementary context only.,Norway/Norway_2020_Arctic_Policy_Abstract.pdf,MATCH,https://www.regjeringen.no/globalassets/departementene/ud/vedlegg/nord/whitepaper_abstract2020.pdf
Denmark_Greenland,Kingdom of Denmark Strategy for the Arctic 2011–2020,2011,Kingdom of Denmark / Greenland / Faroe Islands,Arctic Strategy,English,Denmark_2011_Kingdom_Arctic_Strategy_2011_2020.pdf,3,1,Yes,Pre-war,Long-standing NATO member,Pre-2022 Arctic strategy baseline,"Use for Arctic governance, sovereignty, cooperation, resources and Denmark-Greenland framing",Main Kingdom-level Arctic strategy.,Denmark_Greenland/Denmark_2011_Kingdom_Arctic_Strategy_2011_2020.pdf,MATCH,https://library.arcticportal.org/1890/1/DENMARK.pdf
Denmark_Greenland,"Greenland’s Foreign, Security and Defence Policy 2024–2033",2024,Government of Greenland,"Foreign, Security and Defence Policy",English,Greenland_2024_Foreign_Security_Defence_Policy.pdf,3,2,Yes,Post-war,Long-standing NATO member / Kingdom of Denmark,Post-2022 Greenland security and defence framing,"Use for security, defence, U.S./NATO-linked alliance framing, sovereignty and Arctic governance",Main Greenland security/defence document.,Denmark_Greenland/Greenland_2024_Foreign_Security_Defence_Policy.pdf,MATCH,https://paartoq.gl/wp-content/uploads/2024/03/Greenlands_Foreign_-Security_and_Defense_Policy_2024_2033.pdf
